,lines,month,ridership,additional_platform_time,additional_train_time,over_five_mins_perc,wait_assessment,service_delivered,terminal_on_time_performance,percent_late,infra_critical,noninfra_critical,infra_noncritical,noninfra_noncritical
144,"L,G",2,147541.0,3.1658852,1.9110460999999999,0.31125407,1.48113605,1.9212655,1.65268006,0.15671972,1,2,1893,599
145,"L,M",1,195963.0,2.9190429,0.5315076049999999,0.289672006,1.44696816,1.9361702,1.8181987,0.056766607999999996,1,1,1029,624
146,"L,M",2,185334.0,3.8797987000000003,0.9030083999999999,0.32988177,1.3874589,1.89676484,1.72742486,0.06841216,3,2,1412,608
147,"L,N,Q,R,W,4,5,6",1,830973.0,9.63554014,3.6738845830000004,1.0783917459999999,4.39470931,6.369707270000001,5.598474049999999,0.228235462,15,14,7728,4323
148,"L,N,Q,R,W,4,5,6",2,795975.0,9.8428687,3.1467642739999997,1.01821225,4.4990783500000004,6.4283914200000005,5.6584027599999995,0.25318693899999994,17,9,6866,3121
149,M,1,38990.833333333336,1.899129,-0.050102245,0.19720282,0.711369,0.9612768,0.9051697,0.022111492,0,0,341,268
150,M,2,36115.166666666664,1.9248273,0.1702798,0.2123564,0.6762786,0.93406594,0.8341198,0.03339383,2,0,690,224
151,"M,J",1,45160.0,3.080044,0.37074487500000003,0.36690584000000004,1.4791102,1.92623636,1.7980323,0.022111492,0,0,835,475
152,"M,J",2,42187.666666666664,3.0570373,0.6941921,0.39320434000000004,1.447366,1.91519804,1.72181183,0.03339383,3,0,1164,387
153,"M,J,Z",1,109714.5,3.080044,0.37074487500000003,0.36690584000000004,1.4791102,1.92623636,1.7980323,0.022111492,0,0,835,475
154,"M,J,Z",2,104270.0,3.0570373,0.6941921,0.39320434000000004,1.447366,1.91519804,1.72181183,0.03339383,3,0,1164,387
155,"M,R",1,94840.1,4.2510548,-0.095290642,0.42051694,1.06419512,1.68281254,1.62879006,0.049855578,5,1,1992,440
156,"M,R",2,89247.2,4.1400743,0.137493524,0.42771704,1.0484225,1.67193004,1.54049296,0.06889888999999999,10,1,2191,377
